Związany z;Typ;Mobilny;Data;Przypisany do;Opis
IM -Kolejowa 6[13] - Im -Kolejowa 6[13];Kontakt bezpośredni;RICERCA;12/08/2026 17:00;Marek Nowak;
IM -Kolejowa 4[12] - Im -Kolejowa 4[12];Telefon;Tel ogólny;12/08/2026 16:00;Marek Nowak;Pani chce sprzedać kawalerkę, prosi o kontakt w przyszłym tygodniu
IM -Kolejowa 4[3] - Im -Kolejowa 4[3];Kontakt bezpośredni;RICERCA;12/08/2026 12:45;Marek Nowak;Pani chce sprzedać kawalerkę, prosi o kontakt w przyszłym tygodniu
IM -Kolejowa 4[18] - Im -Kolejowa 4[18];Telefon;Tel ogólny;12/08/2026 12:00;Marek Nowak;Nie chce, mówi że nie te czasy
IM -Kolejowa 6[19] - Im -Kolejowa 6[19];Kontakt bezpośredni;RICERCA;12/08/2026 9:45;Marek Nowak;Pani chce sprzedać kawalerkę, prosi o kontakt w przyszłym tygodniu
IM -Kolejowa 4[18] - Im -Kolejowa 4[18];Kontakt bezpośredni;RICERCA;12/08/2026 18:15;Marek Nowak;Pod 4 się sprzedało miesiąc temu przez inną agencję
IM -Kolejowa 6[18] - Im -Kolejowa 6[18];Telefon;Tel ogólny;12/08/2026 9:30;Marek Nowak;Nie chce, zostawiłam wizytówkę
IM -Kolejowa 6[4] - Im -Kolejowa 6[4];Kontakt bezpośredni;RICERCA;12/08/2026 16:15;Marek Nowak;Nie chce, mówi że nie te czasy
IM -Lipowa 3[3] - Im -Lipowa 3[3];Telefon;Tel ogólny;12/08/2026 16:00;Marek Nowak;Pani chce sprzedać kawalerkę, prosi o kontakt w przyszłym tygodniu
IM -Ogrodowa 14[18] - Im -Ogrodowa 14[18];Kontakt bezpośredni;RICERCA;12/08/2026 12:30;Marek Nowak;Wygląda na puste, listy w skrzynkach
IM -Ogrodowa 14[12] - Im -Ogrodowa 14[12];Kontakt bezpośredni;RICERCA;12/08/2026 11:15;Marek Nowak;Może za rok jak córka skończy studia, zostawiłem ulotkę
IM -Kolejowa 4[19] - Im -Kolejowa 4[19];Kontakt bezpośredni;RICERCA;13/08/2026 11:45;Marek Nowak;Może za rok jak córka skończy studia, zostawiłem ulotkę
IM -Ogrodowa 14[10] - Im -Ogrodowa 14[10];Kontakt bezpośredni;RICERCA;13/08/2026 16:00;Marek Nowak;
IM -Ogrodowa 14[6] - Im -Ogrodowa 14[6];Kontakt bezpośredni;RICERCA;13/08/2026 18:30;Marek Nowak;Nie otworzył, przez drzwi że nie jest zainteresowany
IM -Ogrodowa 14[2] - Im -Ogrodowa 14[2];Telefon;Tel ogólny;13/08/2026 17:00;Marek Nowak;Wygląda na puste, listy w skrzynkach
IM -Ogrodowa 12[11] - Im -Ogrodowa 12[11];Telefon;Tel ogólny;13/08/2026 17:30;Marek Nowak;Nie otworzył, przez drzwi że nie jest zainteresowany
IM -Lipowa 3[15] - Im -Lipowa 3[15];Kontakt bezpośredni;RICERCA;13/08/2026 9:00;Marek Nowak;Nie otworzył, przez drzwi że nie jest zainteresowany
IM -Kolejowa 4[2] - Im -Kolejowa 4[2];Telefon;Tel ogólny;13/08/2026 17:30;Marek Nowak;Wygląda na puste, listy w skrzynkach
IM -Ogrodowa 14[10] - Im -Ogrodowa 14[10];Telefon;Tel ogólny;13/08/2026 17:45;Marek Nowak;Najemcy, właściciel mieszka w Niemczech
IM -Kolejowa 4[15] - Im -Kolejowa 4[15];Telefon;Tel ogólny;13/08/2026 11:15;Marek Nowak;Nie chce, mówi że nie te czasy
IM -Ogrodowa 14[2] - Im -Ogrodowa 14[2];Kontakt bezpośredni;RICERCA;13/08/2026 10:30;Marek Nowak;Może za rok jak córka skończy studia, zostawiłem ulotkę
IM -Ogrodowa 14[13] - Im -Ogrodowa 14[13];Kontakt bezpośredni;RICERCA;14/08/2026 18:45;Marek Nowak;Nic nie słyszała o sprzedaży w bloku
IM -Ogrodowa 14[13] - Im -Ogrodowa 14[13];Kontakt bezpośredni;RICERCA;14/08/2026 16:30;Marek Nowak;Pod 4 się sprzedało miesiąc temu przez inną agencję
IM -Lipowa 3[9] - Im -Lipowa 3[9];Kontakt bezpośredni;RICERCA;14/08/2026 17:45;Marek Nowak;Nie chce, zostawiłam wizytówkę
IM -Ogrodowa 14[8] - Im -Ogrodowa 14[8];Kontakt bezpośredni;RICERCA;14/08/2026 10:00;Marek Nowak;Nic nie słyszała o sprzedaży w bloku
IM -Kolejowa 6[8] - Im -Kolejowa 6[8];Telefon;Tel ogólny;14/08/2026 9:45;Marek Nowak;Nic nie słyszała o sprzedaży w bloku
IM -Ogrodowa 12[10] - Im -Ogrodowa 12[10];Kontakt bezpośredni;RICERCA;14/08/2026 9:15;Marek Nowak;
IM -Ogrodowa 12[20] - Im -Ogrodowa 12[20];Kontakt bezpośredni;RICERCA;14/08/2026 16:30;Marek Nowak;Może za rok jak córka skończy studia, zostawiłem ulotkę
IM -Lipowa 3[20] - Im -Lipowa 3[20];Kontakt bezpośredni;RICERCA;14/08/2026 17:00;Marek Nowak;Nie chce, zostawiłam wizytówkę
IM -Lipowa 3[13] - Im -Lipowa 3[13];Kontakt bezpośredni;RICERCA;14/08/2026 12:45;Marek Nowak;Nie chce, mówi że nie te czasy
IM -Ogrodowa 14[13] - Im -Ogrodowa 14[13];Kontakt bezpośredni;RICERCA;14/08/2026 9:15;Marek Nowak;Pani chce sprzedać kawalerkę, prosi o kontakt w przyszłym tygodniu
